row_number,NDVI,Pred_Veg,geometry,latitude,longitude,area,centroid_latitude,centroid_longitude
29,0.718602,Shrubland,"POLYGON Z ((464835.0939999996 7194868.735100001 0, 464845.49399999995 7194868.735100001 0, 464845.49399999995 7194863.535100002 0, 464850.69400000013 7194863.535100002 0, 464850.69400000013 7194853.1351 0, 464845.49399999995 7194853.1351 0, 464845.49399999995 7194847.9351 0, 464829.8940000003 7194847.9351 0, 464829.8940000003 7194853.1351 0, 464824.69400000013 7194853.1351 0, 464824.69400000013 7194858.335099999 0, 464835.0939999996 7194858.335099999 0, 464835.0939999996 7194868.735100001 0))",,,351.5200000106543,7194857.335100003,464839.2940000008
30,0.734459,Shrubland,"POLYGON Z ((464434.69400000013 7194842.735100001 0, 464434.69400000013 7194853.1351 0, 464439.8940000003 7194853.1351 0, 464460.69400000013 7194853.1351 0, 464460.69400000013 7194847.9351 0, 464450.29399999976 7194847.9351 0, 464450.29399999976 7194842.735100001 0, 464445.0939999996 7194842.735100001 0, 464434.69400000013 7194842.735100001 0))",,,216.31999996706844,7194848.585100001,464445.7440000001
31,0.729641,Fen,"POLYGON Z ((464621.8940000003 7194832.335099999 0, 464621.8940000003 7194853.1351 0, 464616.69400000013 7194853.1351 0, 464616.69400000013 7194858.335099999 0, 464632.29399999976 7194858.335099999 0, 464632.29399999976 7194853.1351 0, 464647.8940000003 7194853.1351 0, 464647.8940000003 7194842.735100001 0, 464647.8940000003 7194837.535100002 0, 464642.69400000013 7194837.535100002 0, 464632.29399999976 7194837.535100002 0, 464632.29399999976 7194832.335099999 0, 464621.8940000003 7194832.335099999 0))",,,540.7999999564141,7194845.855099998,464632.55399999977
32,0.722474,Fen,"POLYGON Z ((464679.0939999996 7194832.335099999 0, 464673.8940000003 7194832.335099999 0, 464668.69400000013 7194832.335099999 0, 464668.69400000013 7194842.735100001 0, 464663.49399999995 7194842.735100001 0, 464663.49399999995 7194853.1351 0, 464668.69400000013 7194853.1351 0, 464668.69400000013 7194847.9351 0, 464673.8940000003 7194847.9351 0, 464679.0939999996 7194847.9351 0, 464679.0939999996 7194832.335099999 0))",,,216.3200000009686,7194842.085099999,464671.94400000013
33,0.684128,Fen,"POLYGON Z ((464762.29399999976 7194847.9351 0, 464762.29399999976 7194842.735100001 0, 464746.69400000013 7194837.535100002 0, 464746.69400000013 7194842.735100001 0, 464741.49399999995 7194842.735100001 0, 464741.49399999995 7194853.1351 0, 464762.29399999976 7194853.1351 0, 464762.29399999976 7194847.9351 0))",,,256.8799999602884,7194846.840363158,464751.89399999985
34,0.639344,Evergreen Forest,"POLYGON Z ((464809.0939999996 7194853.1351 0, 464809.0939999996 7194842.735100001 0, 464798.69400000013 7194842.735100001 0, 464798.69400000013 7194853.1351 0, 464798.69400000013 7194863.535100002 0, 464803.8940000003 7194863.535100002 0, 464803.8940000003 7194853.1351 0, 464809.0939999996 7194853.1351 0))",,,162.23999999225137,7194851.40176667,464803.0273333331
35,0.697032,Fen,"POLYGON Z ((464866.29399999976 7194832.335099999 0, 464866.29399999976 7194837.535100002 0, 464866.29399999976 7194842.735100001 0, 464861.0939999996 7194842.735100001 0, 464861.0939999996 7194847.9351 0, 464866.29399999976 7194847.9351 0, 464866.29399999976 7194853.1351 0, 464881.8940000003 7194853.1351 0, 464881.8940000003 7194842.735100001 0, 464871.49399999995 7194842.735100001 0, 464871.49399999995 7194832.335099999 0, 464866.29399999976 7194832.335099999 0))",,,243.35999999321996,7194845.3351,464871.78288888856
36,0.733177,Shrubland,"POLYGON Z ((464455.49399999995 7194837.535100002 0, 464445.0939999996 7194837.535100002 0, 464445.0939999996 7194842.735100001 0, 464450.29399999976 7194842.735100001 0, 464450.29399999976 7194847.9351 0, 464460.69400000013 7194847.9351 0, 464465.8940000003 7194847.9351 0, 464465.8940000003 7194837.535100002 0, 464455.49399999995 7194837.535100002 0))",,,189.27999997965992,7194842.363671429,464456.60828571423
37,0.743475,Shrubland,"POLYGON Z ((464543.8940000003 7194832.335099999 0, 464533.49399999995 7194832.335099999 0, 464533.49399999995 7194837.535100002 0, 464523.0939999996 7194837.535100002 0, 464517.8940000003 7194837.535100002 0, 464517.8940000003 7194842.735100001 0, 464517.8940000003 7194858.335099999 0, 464523.0939999996 7194858.335099999 0, 464523.0939999996 7194853.1351 0, 464549.0939999996 7194847.9351 0, 464549.0939999996 7194842.735100001 0, 464543.8940000003 7194842.735100001 0, 464543.8940000003 7194832.335099999 0))",,,473.199999961257,7194844.171290474,464531.6120952389
38,0.755518,Shrubland,"POLYGON Z ((464559.49399999995 7194847.9351 0, 464559.49399999995 7194842.735100001 0, 464564.69400000013 7194842.735100001 0, 464564.69400000013 7194837.535100002 0, 464554.29399999976 7194837.535100002 0, 464554.29399999976 7194847.9351 0, 464559.49399999995 7194847.9351 0))",,,81.11999999128282,7194841.868433335,464558.6273333332
39,0.760299,Shrubland,"POLYGON Z ((464564.69400000013 7194837.535100002 0, 464564.69400000013 7194842.735100001 0, 464559.49399999995 7194842.735100001 0, 464559.49399999995 7194847.9351 0, 464569.8940000003 7194847.9351 0, 464569.8940000003 7194837.535100002 0, 464564.69400000013 7194837.535100002 0))",,,81.11999999128282,7194843.601766666,464565.56066666683
40,0.738132,Fen,"POLYGON Z ((464606.29399999976 7194832.335099999 0, 464595.8940000003 7194832.335099999 0, 464595.8940000003 7194842.735100001 0, 464595.8940000003 7194847.9351 0, 464601.0939999996 7194847.9351 0, 464601.0939999996 7194853.1351 0, 464611.49399999995 7194853.1351 0, 464611.49399999995 7194847.9351 0, 464606.29399999976 7194847.9351 0, 464606.29399999976 7194832.335099999 0))",,,216.3200000009686,7194842.735099999,464602.39399999974
41,0.698909,Fen,"POLYGON Z ((464715.49399999995 7194832.335099999 0, 464699.8940000003 7194837.535100002 0, 464699.8940000003 7194842.735100001 0, 464699.8940000003 7194847.9351 0, 464710.29399999976 7194847.9351 0, 464715.49399999995 7194832.335099999 0))",,,162.23999998982998,7194841.001766669,464706.8273333336
42,0.720382,Fen,"POLYGON Z ((464725.8940000003 7194832.335099999 0, 464715.49399999995 7194832.335099999 0, 464710.29399999976 7194847.9351 0, 464699.8940000003 7194847.9351 0, 464699.8940000003 7194853.1351 0, 464705.0939999996 7194853.1351 0, 464710.29399999976 7194853.1351 0, 464710.29399999976 7194858.335099999 0, 464720.69400000013 7194858.335099999 0, 464720.69400000013 7194837.535100002 0, 464725.8940000003 7194837.535100002 0, 464725.8940000003 7194832.335099999 0))",,,310.96000001017006,7194846.352491302,464714.81573913124
43,0.697757,Fen,"POLYGON Z ((464757.0939999996 7194827.1351 0, 464746.69400000013 7194827.1351 0, 464746.69400000013 7194837.535100002 0, 464762.29399999976 7194842.735100001 0, 464762.29399999976 7194847.9351 0, 464767.49399999995 7194847.9351 0, 464767.49399999995 7194832.335099999 0, 464757.0939999996 7194832.335099999 0, 464757.0939999996 7194827.1351 0))",,,256.88000003777444,7194836.166678949,464757.641368421
44,0.708042,Fen,"POLYGON Z ((464777.8940000003 7194827.1351 0, 464777.8940000003 7194832.335099999 0, 464767.49399999995 7194832.335099999 0, 464767.49399999995 7194847.9351 0, 464762.29399999976 7194847.9351 0, 464762.29399999976 7194853.1351 0, 464762.29399999976 7194858.335099999 0, 464772.69400000013 7194858.335099999 0, 464772.69400000013 7194847.9351 0, 464788.29399999976 7194847.9351 0, 464788.29399999976 7194837.535100002 0, 464788.29399999976 7194827.1351 0, 464777.8940000003 7194827.1351 0))",,,486.72000000581147,7194841.868433332,464776.16066666675
